ts	phase	decision	why	evidence	result
2026-09-23T16:40:00	frame	Chose a full-rebuild program with the better-* skills as the standard	the owner asked for every surface redone; no designs exist; the skills encode the build and review rules	docs/design/2026-09-23-ui-overhaul.md	phases 0-8 defined; direction prototype is the first commitment point
2026-09-23T16:42:00	audit	Measured the current UI drift before designing anything	the redo needs a truthful baseline of what already exists	renderer tree: 554 direct var() usages in tsx, 27 raw hex values in tsx, 242 Tailwind token classes, nine dark themes in themes.css, no light theme, no capture script	drift quantified; token consolidation is the load-bearing foundation
2026-09-23T16:44:00	sequencing	Stacked feat/ui-overhaul on feat/ai-processing-modes at 27f37e0	the AI feature is code-complete and gate-verified; its PR defers so the same pages are not reviewed twice	git log; parent branch parked	UI work starts here; parent PR waits for the overhaul
2026-09-23T16:48:21	review	Corrected the frame with verified numbers after a fresh-eyes review	the review's class counts were contaminated by var() name substrings; every claim was re-derived before editing	44 tsx; 13 token utilities; 14 broken scale-class usages in ui primitives; verify-speakeasy skill exists and is usable	doc now carries verified counts plus the dangling-scale finding; the review's missing-skill claim was false and is not repeated
2026-09-23T17:56:27	phase1	Direction chosen from renders: A refined dark, with B's calibration adopted	at 900x670 the app's real window, A shows three records and most of the provider form; B shows two and a sliver; a short-session, settings-heavy tool favors density	docs/design/ui-prototypes/ (8 renders, README)	A measured 16/16 contrast pairs and clean 320px reflow; B contributes the light palette, measured-contrast method, and accessibility calibration
2026-09-23T17:56:27	theme	Theme story fixed: Light, Dark, System plus two accent presets; all nine community themes preserved unwired and returning as skins	owner decision, restated in the frame	frame doc Decision section	stored community theme values map to Dark until the skins return
2026-09-23T17:56:27	phase0	Baseline captures deferred to a worktree at 1461218	pre-change state is committed, so nothing is lost; the harness lands with Phase 2	commit 1461218	plan recorded in the frame doc
2026-09-23T18:16:54	phase2	Rebuilt the token layer, ui primitives, theme selection, and a three-layer token check	Phase 2; tokens are the one-way door every later page consumes, so they land first with a ratchet	styles/tokens.css, themes.css, community-themes.css, components/ui/*, lib moved to utils/theme.ts, scripts/check-tokens.mjs (this commit)	gates: lint, typecheck, 41 tests, check:tokens all green; 527 legacy usages (baseline 554) with the ratchet enforced; contrast measured across both themes and accents
2026-09-23T18:19:53	phase2 fix	Restored the solid danger button, tokenized the lg control height, and made the checker catch arbitrary px and raw rgb/hsl values with a ratchet at 19	a fresh-eyes review found the danger regression and the checker's blind spots	69f6bfa review; gui/scripts/check-tokens.mjs output	all gates green; 19 pre-existing arbitrary values tracked for cleanup in Phases 3-6
2026-09-23T19:06:50	phase3	Rebuilt the shell and Dashboard on the new tokens and built the capture harness with a worktree baseline	Phase 3 with Phase 0 folded in; before/after evidence and per-route captures gate every later phase	capture-ui.mjs, docs/design/ui-captures/phase3/, this commit	legacy 527->407, arbitrary 19->17; lint/typecheck/41 tests/check:tokens green; 22 routes captured dark and light; real DB mtime predates the run and the harness uses a scratch home
2026-09-23T19:09:39	phase3 hardening	Hardened capture markers with a 15-word minimum and corrected the phase report	 review flagged that a blank page could pass the marker check; the live-pass delete was confirmed isolated	gui/scripts/capture-ui.mjs; report.md; rerun 11/11 exit 0	markers now require content, not just the breadcrumb; report records the isolation evidence and the utils/navigation.ts move
2026-09-23T19:24:20	phase4	Rebuilt Batch and Stats on semantic tokens; legacy ratchet 407->283	Phase 4; same pattern as the Dashboard	pages/BatchTranscription.tsx, pages/Stats.tsx, styles/globals.css, check-tokens.mjs (this commit)	lint/typecheck/41 tests/token check green; after-captures blocked by the user's running app (port 8765 and the single-instance lock), before images committed
2026-09-23T19:54:10	phase5	Rebuilt all eight settings pages and their child components on semantic tokens; ratchets 283->40 legacy and 17->5 arbitrary	Phase 5; the settings surface is the bulk of the app	pending commit (pages/settings/*, components, globals.css, captures)	lint/typecheck/41 tests/token check/build green; after-captures blocked by the running app, before images committed; remaining legacy refs live only in the Phase 6 dialogs
2026-09-23T23:59:48	phase6	Rebuilt the overlay, dialogs, and toasts and deleted the legacy alias block; both ratchets pinned at 0	Phase 6; the last unmigrated surfaces, and the alias block's exit condition is met	this commit (overlay, dialogs, toasts, tokens.css, check-tokens.mjs, tests)	lint/typecheck/51 tests/token check/build green; overlay and dialog captures implemented but unexecuted because the app holds the port; toast capture not shipped (no deterministic trigger)
2026-09-24T00:03:18	phase7 captures	Ran the closed-app capture pass: 26 images covering every route plus the export dialog and the overlay, both themes	closes the evidence gap from Phases 4-6; the app's orphaned backend held the port after the GUI closed and was stopped	ui-captures/phase7 (temp run); after pairs filed into phase4/5/6	capture exit 0, 26 captures; certification work follows
2026-09-24T00:34:36	phase7	Copy pass across every surface, repository better-interface sweep (14 findings, 5 HIGH all fixed, verdict Approve), break stress with two real fixes, fresh 26-capture run	certification phase; the audit is the artifact a reviewer reruns	docs/design/ui-captures/phase7/audit.md; this commit	lint/typecheck/51 tests/token check/build green; captures 26/26; one MEDIUM left open (API error vocabulary) and two LOW accepted
